@relation 'cjlt123.txt-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-79,81-100,103,107-124,126-127,129-220,222-223,225-270'

@attribute att_80 numeric
@attribute att_101 numeric
@attribute att_102 numeric
@attribute att_104 numeric
@attribute att_105 numeric
@attribute att_106 numeric
@attribute att_125 numeric
@attribute att_128 numeric
@attribute att_221 numeric
@attribute att_224 numeric
@attribute class {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40}

@data
{0 -0.264107,1 -0.08757,2 -0.362248,3 -0.075164,4 -0.944443,5 -0.682047,6 -0.643331,7 0.531481,8 -0.190809,9 -0.22172,10 6}
{0 -0.190692,1 -0.219849,2 -0.418458,3 -0.171372,4 -0.953896,5 -0.645849,6 -0.620513,7 0.506395,8 -0.332362,9 -0.347888,10 6}
{0 -0.228682,1 -0.095809,2 -0.249733,3 -0.000675,4 -0.945778,5 -0.665713,6 -0.584546,7 0.473995,8 -0.196998,9 -0.195318,10 6}
{0 -0.223058,1 -0.171045,2 -0.287757,3 -0.057834,4 -0.950892,5 -0.651036,6 -0.612823,7 0.492807,8 -0.2385,9 -0.240776,10 6}
{0 -0.27221,1 -0.02801,2 -0.227756,3 0.049229,4 -0.94029,5 -0.790822,6 -0.585875,7 0.458423,8 -0.166051,9 -0.181269,10 6}
{0 -0.268228,1 -0.05256,2 -0.23359,3 0.031841,4 -0.942335,5 -0.572272,6 -0.583974,7 0.45778,8 -0.199648,9 -0.207573,10 6}
{0 -0.285996,1 -0.079502,2 -0.24011,3 0.013461,4 -0.945773,5 -0.644084,6 -0.614933,7 0.50412,8 -0.179701,9 -0.159346,10 6}
{0 -0.166458,1 -0.200994,2 -0.467462,3 -0.205278,4 -0.952626,5 -0.536967,6 -0.661797,7 0.563281,8 -0.234071,9 -0.253111,10 6}
{0 -0.265304,1 -0.024053,2 -0.23472,3 0.046953,4 -0.940309,5 -0.470091,6 -0.587966,7 0.469873,8 -0.170197,9 -0.157187,10 6}
{0 -0.294367,1 -0.011165,2 -0.161094,3 0.100834,4 -0.941509,5 -0.532425,6 -0.562487,7 0.458493,8 -0.143834,9 -0.112845,10 6}
{0 -0.253174,1 -0.124807,2 -0.344085,3 -0.080043,4 -0.947765,5 -0.773974,6 -0.65831,7 0.551997,8 -0.17632,9 -0.177933,10 6}
{0 -0.306221,1 -0.078766,2 -0.292133,3 -0.021394,4 -0.945498,5 -0.766212,6 -0.649471,7 0.547483,8 -0.157641,9 -0.14135,10 6}
{0 -0.260791,1 -0.103483,2 -0.241146,3 0.001558,4 -0.946464,5 -0.773974,6 -0.636499,7 0.524832,8 -0.12484,9 -0.116795,10 6}
{0 -0.293513,1 -0.072095,2 -0.313031,3 -0.032298,4 -0.944389,5 -0.440236,6 -0.650212,7 0.541115,8 -0.16405,9 -0.161202,10 6}
{0 -0.304513,1 -0.035298,2 -0.279653,3 0.01085,4 -0.941221,5 -0.572272,6 -0.628057,7 0.517532,8 -0.158471,9 -0.150815,10 6}
{0 -0.221876,1 -0.203617,2 -0.46263,3 -0.20204,4 -0.952286,5 -0.671841,6 -0.712645,7 0.620853,8 -0.149702,9 -0.174581,10 6}
{0 -0.252436,1 -0.043116,2 -0.280651,3 0.005914,4 -0.939969,5 -0.705607,6 -0.613308,7 0.488437,8 -0.176182,9 -0.175863,10 6}
{0 -0.276912,1 -0.079672,2 -0.236059,3 0.015972,4 -0.946401,5 -0.629336,6 -0.611336,7 0.519542,8 -0.159485,9 -0.117565,10 6}
{0 -0.296275,1 -0.008134,2 -0.253423,3 0.044305,4 -0.93849,5 -0.795317,6 -0.600907,7 0.479639,8 -0.143972,9 -0.166488,10 6}
{0 0.102833,1 0.201105,2 -0.039656,3 0.315277,4 -0.944354,5 -0.55428,6 -0.286088,7 0.004267,8 -0.132244,9 -0.103562,10 7}
{0 0.046193,1 0.311606,2 0.063159,3 0.459519,4 -0.940172,5 -0.57034,6 -0.149821,7 -0.238516,8 -0.193755,9 -0.166046,10 7}
